                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0669,                0.68746,                 1.1249,                0.96631,                0.93749,                0.98281,                0.68361,                 1.0376,                0.68512,                 1.0785,             0.00093207,             0.00093207,             0.00093207
                     36,                 1.0551,                0.68757,                 1.1156,                0.96681,                0.93906,                 0.9824,                0.69235,                 1.0131,                0.67893,                  1.071,             0.00093007,             0.00093007,             0.00093007
                     37,                 1.0534,                0.68303,                 1.1187,                0.96095,                0.94065,                 0.9825,                 0.6811,                 1.0359,                0.68165,                 1.0739,             0.00092807,             0.00092807,             0.00092807
                     38,                 1.0707,                0.68877,                  1.122,                0.96306,                0.93879,                0.98182,                0.69815,                0.97585,                0.67208,                  1.068,             0.00092607,             0.00092607,             0.00092607
                     39,                 1.0547,                0.68048,                 1.1188,                0.96009,                0.94737,                0.98251,                0.68638,                 1.0408,                0.67006,                 1.0763,             0.00092408,             0.00092408,             0.00092408
                     40,                 1.0414,                0.66814,                  1.107,                0.96589,                0.94142,                0.98268,                0.70121,                0.98237,                  0.659,                 1.0664,             0.00092208,             0.00092208,             0.00092208
                     41,                 1.0447,                0.66944,                 1.1131,                0.96579,                0.94238,                0.98265,                0.68572,                 1.0482,                 0.6664,                  1.076,             0.00092008,             0.00092008,             0.00092008
                     42,                 1.0527,                0.66629,                 1.1108,                0.96542,                0.94342,                0.98322,                0.69283,                 1.0271,                 0.6609,                 1.0696,             0.00091808,             0.00091808,             0.00091808
                     43,                 1.0347,                0.65544,                 1.1026,                0.96485,                0.94283,                 0.9833,                0.68257,                 1.0618,                0.65887,                 1.0762,             0.00091608,             0.00091608,             0.00091608
                     44,                 1.0486,                0.65911,                 1.1114,                0.96359,                0.94681,                0.98357,                0.69802,                 1.0128,                0.64458,                 1.0623,             0.00091409,             0.00091409,             0.00091409
                     45,                 1.0367,                0.65102,                 1.1013,                0.96275,                0.94792,                0.98313,                0.68996,                 1.0481,                0.64746,                 1.0708,             0.00091209,             0.00091209,             0.00091209
                     46,                 1.0302,                0.64661,                 1.1054,                0.96831,                0.93684,                0.98368,                0.67951,                 1.0808,                0.65471,                 1.0802,             0.00091009,             0.00091009,             0.00091009
                     47,                 1.0417,                 0.6449,                 1.1091,                0.97357,                0.93573,                0.98433,                0.69619,                 1.0014,                0.64544,                 1.0604,             0.00090809,             0.00090809,             0.00090809
                     48,                 1.0272,                0.64193,                 1.1037,                0.96785,                0.94017,                0.98372,                0.70784,                0.97168,                0.64094,                 1.0575,             0.00090609,             0.00090609,             0.00090609
